Model,MAE,MZOE,MAE_macro,GED,RS,ECS,SCS,WCS
Logistic Regression (Word2Vec + BT + Dim Red),2.125,0.702922077922078,1.63829336017843,1.58180837826069,2.145094070531307,2.641968962724581,1.5666017590404306,1.7171404801504824
Linear Support Vector Machine (Word2Vec + BT + Dim Red),2.0259740259740258,0.681818181818182,1.6677702246881896,1.5454674331908684,2.322867685795789,2.3531134390723403,1.4297149441159842,1.5151614718287572
Random Forest (Word2Vec + BT + Dim Red),1.9431818181818181,0.7597402597402599,1.5804449474025197,1.7563087814260583,2.424576546238833,2.0455526671991886,1.6717185340669216,1.7784423361068369
Gradient Boosting (Word2Vec + BT + Dim Red),1.8750000000000002,0.7564935064935064,1.5023875299721166,1.4918187418323121,2.4316367209879735,1.6,1.5322063340164078,1.4025487004531632
