Model,MAE,MZOE,MAE_macro,GED,RS,ECS,SCS,WCS
Multinomial Naive Bayes,3.3603896103896105,0.814935064935065,2.2857142857142856,3.676851301191201,3.6942039544593173,3.1845609699656516,4.278006461626056,3.8234240450898755
Linear Support Vector Machine,2.126623376623377,0.6185064935064934,1.9740038872691936,2.5695026269688843,3.0708305065568178,2.7137217459212195,2.48746859276655,2.497141222621237
Logistic Regression,2.399350649350649,0.7305194805194807,1.7905143627854423,2.6128695056530145,2.991893810185878,2.5809743453642793,2.907041942790447,2.52445184997796
