Model,MAE,MZOE,MAE_macro,GED,RS,ECS,SCS,WCS
Logistic Regression (Word2Vec + BT),2.0048701298701297,0.6964285714285714,1.5419785936703228,1.579956504402438,2.2222896815157624,2.546987015503388,1.4394396851354547,1.4217695212053785
Linear Support Vector Machine (Word2Vec + BT),1.9496753246753247,0.6720779220779222,1.5926937783543587,1.511513200080587,2.2446762413701062,2.4233978507164573,1.511304131725785,1.4157279803287472
Random Forest (Word2Vec + BT),1.9740259740259738,0.75487012987013,1.5476342177335731,1.6067510683163446,2.090796157311509,2.0220216192146485,1.700512002729934,1.5514969729725085
Gradient Boosting (Word2Vec + BT),1.8490259740259738,0.7564935064935066,1.4130586060466563,1.386725069150592,1.9748417658131499,1.5847487407878167,1.4460151525584273,1.6660475040389116
