Model,MAE,MZOE,MAE_macro,GED,RS,ECS,SCS,WCS
Logistic Regression (Word2Vec),2.185064935064935,0.6298701298701299,1.9923469387755104,2.660012041796051,3.0002380857906212,2.8881531419626225,2.7349425431415764,2.4937063637428185
Linear Support Vector Machine (Word2Vec),2.37012987012987,0.6574675324675325,2.0345238095238094,2.7430319594122743,3.0708305065568178,2.6723451445179327,2.998883720891587,2.6341168213599464
Random Forest (Word2Vec),2.400974025974026,0.6866883116883117,2.0053114048649765,2.7300322657204985,3.024896692450835,2.5272797346441207,2.946415043258987,2.877747134726846
Gradient Boosting (Word2Vec),2.4642857142857144,0.7840909090909091,1.7803864998380303,2.5764799946722716,2.7581049394725463,2.2878561393334405,3.082297525501762,2.6473706632376643
