Model,Mean Zero-One Error,Mean Absolute Error,Macroaveraged Mean Absolute Error,Restrained Subscale,Eating Concern Subscale,Shape Concern Subscale,Weight Concern Subscale,Global ED
Multinomial Naive Bayes,0.6753246753246753,2.340909090909091,1.7449807990523618,2.5793133083937563,3.0173308924090034,1.9142324086394824,1.9142324086394824,1.8380655410065536
Linear Support Vector Machine,0.7012987012987012,1.974025974025974,1.560444493074058,1.9867417691141587,1.6274432182326448,1.4177446878757824,1.4177446878757824,1.360584437350624
Logistic Regression,0.6720779220779222,2.043831168831169,1.6271578180144235,2.431636720987973,2.1480888515807983,1.6234883078464981,1.6234883078464981,1.5417501686684796
